idIngredients,ingredientName,productSKU,,,,,,,costPerOz,ozInSmall,ozInMedium,ozInLarge,ozInExtraLarge,idSupplier
,Roma Tomatoes ,T2743O56122,T,27,43,O,56,122, $0.10 ,4,6,8,10,Farmer Dante
,Red Onions ,O2844S57123,O,28,44,S,57,123, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Spinach ,S2945B58124,S,29,45,B,58,124, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Broccoli ,B1146P71125,B,11,46,P,71,125, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Pineapple ,P7247H72126,P,72,47,H,72,126, $0.10 ,4,6,8,10,Farmer Dante
,Jalapeno Peppers ,P1239S73127,P,12,39,S,73,127, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Kalamata Olives ,O7840F74128,O,78,40,F,74,128, $0.10 ,4,6,8,10,Farmer Dante
,Fresh Mushrooms ,V1341P75103,V,13,41,P,75,103, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Green Olives ,O7848T76104,O,78,48,T,76,104, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Green Peppers ,P1449Z77105,P,14,49,Z,77,105, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Roasted Garlic ,V1550G78106,V,15,50,G,78,106, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Hot Banana Peppers ,P7851O79107,P,78,51,O,79,107, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Roasted Red Peppers ,P1676M68108,P,16,76,M,68,108, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Sun Dried Tomatoes ,T7277O69109,T,72,77,O,69,109, $0.10 ,4,6,8,10,Farmer Dante
,Grilled Zucchini ,Z1778G70110,Z,17,78,G,70,110, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Potato slice ,R7879O71111,R,78,79,O,71,111, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Caramelized Onions ,O1868M72112,O,18,68,M,72,112, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Cilantro ,H1969O73113,H,19,69,O,73,113, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Tomato Sauce,V4511G74114,V,45,11,G,74,114, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Flour_White,F4616P75115,F,46,16,P,75,115, $0.10 ,4,6,8,10,Great Grains Flour
,Flour_Wheat,F4712P76116,F,47,12,P,76,116, $0.10 ,4,6,8,10,Great Grains Flour
,Flour_Gluten_Free,F4818T77117,F,48,18,T,77,117, $0.10 ,4,6,8,10,Great Grains Flour
,Flour_Cornmeal,F4913Z78118,F,49,13,Z,78,118, $0.10 ,4,6,8,10,Great Grains Flour
,Flour_Multigrain,F5017H79119,F,50,17,H,79,119, $0.10 ,4,6,8,10,Great Grains Flour
,Carmelized Carrots,R5114S80120,R,51,14,S,80,120, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Eggplant,R5215F81121,R,52,15,F,81,121, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Yak chips,M7972F29104,M,79,72,F,29,104, $0.10 ,4,6,8,10,Sankofa Specialties
,Buffalo Loins,M6812P11105,M,68,12,P,11,105, $0.10 ,4,6,8,10,Sankofa Specialties
,Lamb,C6978T72106,C,69,78,T,72,106, $0.10 ,4,6,8,10,Sankofa Specialties
,Shrimp,S1113Z12113,S,11,13,Z,12,113, $0.10 ,4,6,8,10,Sankofa Specialties
,Salmon,S1678G78114,S,16,78,G,78,114, $0.10 ,4,6,8,10,Sankofa Specialties
,Prawns,S1214O13115,S,12,14,O,13,115, $0.10 ,4,6,8,10,Sankofa Specialties
,Steak,M1816M78116,M,18,16,M,78,116, $0.10 ,4,6,8,10,Sankofa Specialties
,Baked Beans,L1672T45117,L,16,72,T,45,117, $0.10 ,4,6,8,10,Acme Pizza Supplies
,Kiwi,C7217Z46118,C,72,17,Z,46,118, $0.10 ,4,6,8,10,Farmer Dante
