ingredientName,productSKU,costPerOz,ozInSmall,ozInMedium,ozInLarge,ozInExtraLarge,idSupplier,,
Roma Tomatoes ,T2743O56122, $0.10 ,4,6,8,10,1,,
Red Onions ,O2844S57123, $0.10 ,4,6,8,10,2,,
Spinach ,S2945B58124, $0.10 ,4,6,8,10,2,,
Broccoli ,B1146P71125, $0.10 ,4,6,8,10,2,,
Pineapple ,P7247H72126, $0.10 ,4,6,8,10,3,,
Jalapeno Peppers ,P1239S73127, $0.10 ,4,6,8,10,1,,
Kalamata Olives ,O7840F74128, $0.10 ,4,6,8,10,1,,
Fresh Mushrooms ,V1341P75103, $0.10 ,4,6,8,10,1,,
Green Olives ,O7848T76104, $0.10 ,4,6,8,10,1,,
Green Peppers ,P1449Z77105, $0.10 ,4,6,8,10,1,,
Roasted Garlic ,V1550G78106, $0.10 ,4,6,8,10,1,,
Hot Banana Peppers ,P7851O79107, $0.10 ,4,6,8,10,1,,
Roasted Red Peppers ,P1676M68108, $0.10 ,4,6,8,10,1,,
Sun Dried Tomatoes ,T7277O69109, $0.10 ,4,6,8,10,1,,
Grilled Zucchini ,Z1778G70110, $0.10 ,4,6,8,10,1,,
Potato slice ,R7879O71111, $0.10 ,4,6,8,10,1,,
Caramelized Onions ,O1868M72112, $0.10 ,4,6,8,10,1,,
Cilantro ,H1969O73113, $0.10 ,4,6,8,10,1,,
Tomato Sauce,V4511G74114, $0.10 ,4,6,8,10,1,,
Flour_White,F4616P75115, $0.10 ,4,6,8,10,4,,
Flour_Wheat,F4712P76116, $0.10 ,4,6,8,10,4,,
Flour_Gluten_Free,F4818T77117, $0.10 ,4,6,8,10,4,,
Flour_Cornmeal,F4913Z78118, $0.10 ,4,6,8,10,4,,
Flour_Multigrain,F5017H79119, $0.10 ,4,6,8,10,4,,
Carmelized Carrots,R5114S80120, $0.10 ,4,6,8,10,1,,
Eggplant,R5215F81121, $0.10 ,4,6,8,10,2,,
Yak chips,M7972F29104, $0.10 ,4,6,8,10,3,,
Buffalo Loins,M6812P11105, $0.10 ,4,6,8,10,3,,
Lamb,C6978T72106, $0.10 ,4,6,8,10,3,,
Shrimp,S1113Z12113, $0.10 ,4,6,8,10,3,,
Salmon,S1678G78114, $0.10 ,4,6,8,10,3,,
Prawns,S1214O13115, $0.10 ,4,6,8,10,3,,
Steak,M1816M78116, $0.10 ,4,6,8,10,3,,
Baked Beans,L1672T45117, $0.10 ,4,6,8,10,1,,
Kiwi,C7217Z46118, $0.10 ,4,6,8,10,2,,
